ID,name,batch,link,description,type,company
1,Laura Deming,1,https://www.businesswire.com/news/home/20110524007427/en/Peter-Thiel-Announces-Inaugural-Class-of-20-Under-20-Thiel-Fellows,"Laura Deming wants to extend the human lifespan for a few more centuries—at the very least. She started working in a biogerontology lab when she was 12, matriculated at MIT when she was 14, and now at 17 plans on disrupting the current research paradigm by changing the incentives embedded in today’s traditional funding structures. Too often, researchers design quick incremental projects to please grant-making bodies instead of taking on risky, long time horizon problems. With her fund IP Immortal, Laura plans on commercializing anti-aging research, bringing therapies out of the lab and into the market sooner.",Biotech,IP Immortal
2,Alexander Kiselev,1,https://www.businesswire.com/news/home/20110524007427/en/Peter-Thiel-Announces-Inaugural-Class-of-20-Under-20-Thiel-Fellows,"Alexander Kiselev is a 19-year-old immigrant from Moscow who is worried that scientific advances in the biosciences aren’t developing fast enough. To spark a new age of discovery, he wants to make experimentation cheaper by creating affordable scientific instruments. With help from the open source hardware community, his first project will be an inexpensive high performance liquid chromatography system, a tool that helps biochemists analyze the components of a sample.",Biotech,
3,Darren Zhu,1,https://www.businesswire.com/news/home/20110524007427/en/Peter-Thiel-Announces-Inaugural-Class-of-20-Under-20-Thiel-Fellows,"Darren Zhu has conducted research in a wide range of cutting-edge areas, from molecular spintronics fabrication to therapeutic drug design. He is most excited about synthetic biology, a burgeoning field that engineers solutions to biological problems by using standardized genomic components. After he stops out of Yale, his first project will be to build a diagnostic biosensor, the initial step toward his goal of making synthetic biology easier to engineer.",Biotech,
4,"Daniel Friedman, Paul Gu, and Eric McKay",1,https://www.businesswire.com/news/home/20110524007427/en/Peter-Thiel-Announces-Inaugural-Class-of-20-Under-20-Thiel-Fellows,"Daniel Friedman, Paul Gu, and Eric McKay are passionate about equipping people with the information to make better decisions. In some markets, high noise-to-signal ratios make it hard for the best to distinguish themselves from the lemons. With a wealth of talent in mathematics, programming, and social entrepreneurship, this trio plans to create a more efficient recruiting process driven by a peer-based evaluation system.",Career Development,
5,Dale Stephens,1,https://www.businesswire.com/news/home/20110524007427/en/Peter-Thiel-Announces-Inaugural-Class-of-20-Under-20-Thiel-Fellows,"Dale Stephens flaunts non-conformity in most aspects of his life. At 19, he leads UnCollege, a social movement that applies the methods of unschooling—the self-directed brand of homeschooling with which he was raised—to the realm of higher education. Now he is building a platform called RadMatter to revolutionize how we develop and demonstrate talent in the twenty-first century.",Career Development,UnCollege
6,Jeffrey Lim,1,https://www.businesswire.com/news/home/20110524007427/en/Peter-Thiel-Announces-Inaugural-Class-of-20-Under-20-Thiel-Fellows,"Jeffrey Lim wants to increase the amount of voluntary exchange and cooperation in the world by revamping some of our core economic and social institutions. He believes it’s time the means of exchange caught up with the Information Age. Once he stops out of MIT, Jeffrey plans on using his fellowship to create technologies that will help people self-organize to solve social problems. He’s particularly interested in helping people protect the wealth they create from the harmful effects of inflation.",Economics & Finance,
7,Faheem Zaman,1,https://www.businesswire.com/news/home/20110524007427/en/Peter-Thiel-Announces-Inaugural-Class-of-20-Under-20-Thiel-Fellows,"Faheem Zaman has shot the moon on nearly every SAT test he’s ever taken: 5580 points across 5 tests. He wants to decentralize banking in the developing world with a mobile payment system. Because savings are difficult in poor countries—including in some regions of South Asia where many have to hoard and protect cash—Faheem believes mobile financial services will help bring prosperity to these areas. Before he introduces his technology to the developing world, Faheem’s initial plan is to gain a foothold in the U.S. market for mobile financial services.",Economics & Finance,
8,Nick Cammarata and David Merfield,1,https://www.businesswire.com/news/home/20110524007427/en/Peter-Thiel-Announces-Inaugural-Class-of-20-Under-20-Thiel-Fellows,"Nick Cammarata and David Merfield are working on OPEN, a project that aims to flip the industrial-scale classroom experience. OPEN is a tool used by teachers to create and share online lessons designed to be viewed at home by their own students, leaving class time free for more engaging activities. With a decade of programming experience, Nick has worked for Microsoft, Stanford, and Mozilla and is an active contributor to several open-source projects. David has designed web interfaces used by millions of people around the world. He has lived and been educated in England, Singapore, France, and the USA.",Education,OPEN
9,Andrew Hsu,1,https://www.businesswire.com/news/home/20110524007427/en/Peter-Thiel-Announces-Inaugural-Class-of-20-Under-20-Thiel-Fellows,"Andrew Hsu started doing research in a pathology lab when he was 10. By the time he was 12, he had matriculated at the University of Washington. Soon after, he graduated with honors degrees in neurobiology, biochemistry, and chemistry. He was a 19-year-old 4th-year neuroscience Ph.D. candidate at Stanford University when he left early this year to pursue his start-up, Airy Labs.",Education,Airy Labs
10,John Marbach,1,https://www.businesswire.com/news/home/20110524007427/en/Peter-Thiel-Announces-Inaugural-Class-of-20-Under-20-Thiel-Fellows,"John Marbach has years of experience working as an Internet marketer in customer development—he founded a vacation rental portal as a high school freshman—and he blogs frequently about emerging technologies. Now, with his start-up Ingenic, he wants to leverage web-based videos and mobile apps to bring the classroom into the twenty-first century.",Education,Ingenic
